operation,algorithm,key_gen_time,sign_time,verify_time,aggregate_time,aggregate_verify_time,encrypt_time,decrypt_time,total_time,memory_peak_mb,memory_avg_mb
aggregation_50,EdDSA,0.0,0.0,0.0,1.33514404296875e-06,0.0,0.0,0.0,0.0,86.484375,0.0
aggregation_100,EdDSA,0.0,0.0,0.0,1.8596649169921875e-06,0.0,0.0,0.0,0.0,86.5,0.0
aggregation_500,EdDSA,0.0,0.0,0.0,1.1205673217773438e-05,0.0,0.0,0.0,0.0,88.115625,0.0
key_generation,Additive_HMAC,4.792213439941407e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.8109375,0.0
signing_1024,Additive_HMAC,0.0,6.29425048828125e-06,0.0,0.0,0.0,0.0,0.0,0.0,88.890625,0.0
signing_4096,Additive_HMAC,0.0,1.33514404296875e-06,0.0,0.0,0.0,0.0,0.0,0.0,88.890625,0.0
signing_16384,Additive_HMAC,0.0,1.5974044799804688e-06,0.0,0.0,0.0,0.0,0.0,0.0,88.890625,0.0
signing_65536,Additive_HMAC,0.0,1.1682510375976563e-06,0.0,0.0,0.0,0.0,0.0,0.0,88.890625,0.0
verification_1024,Additive_HMAC,0.0,0.0,1.6927719116210937e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_4096,Additive_HMAC,0.0,0.0,1.1920928955078125e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_16384,Additive_HMAC,0.0,0.0,1.2159347534179687e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_65536,Additive_HMAC,0.0,0.0,1.2159347534179687e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,Additive_HMAC,0.0,0.0,0.0,0.00034456253051757814,0.0,0.0,0.0,0.0,89.109375,0.0
aggregation_50,Additive_HMAC,0.0,0.0,0.0,8.382797241210938e-05,0.0,0.0,0.0,0.0,89.115625,0.0
aggregation_100,Additive_HMAC,0.0,0.0,0.0,0.00016264915466308595,0.0,0.0,0.0,0.0,89.125,0.0
aggregation_500,Additive_HMAC,0.0,0.0,0.0,0.0007748603820800781,0.0,0.0,0.0,0.0,90.215625,0.0
